Time,CPU Auslastung,RAM Auslastung(GB)
2025-07-02 13:49:22.891215, 6.80 %,15 GB
2025-07-02 13:49:23.413095, 6.30 %,15 GB
2025-07-02 13:49:23.930404, 4.50 %,15 GB
2025-07-02 13:49:24.446844, 5.10 %,15 GB
2025-07-02 13:49:24.961012, 3.40 %,15 GB
2025-07-02 13:49:25.472882, 2.10 %,15 GB
2025-07-02 13:49:25.986717, 1.30 %,15 GB
2025-07-02 13:49:26.501088, 1.60 %,15 GB
2025-07-02 13:49:27.016435, 1.30 %,15 GB
2025-07-02 13:49:27.531768, 1.60 %,15 GB
2025-07-02 13:49:28.045500, 1.60 %,15 GB
2025-07-02 13:49:28.561458, 2.40 %,15 GB
2025-07-02 13:49:29.076150, 2.30 %,15 GB
2025-07-02 13:49:29.592062, 1.90 %,15 GB
2025-07-02 13:49:30.107940, 1.60 %,15 GB
2025-07-02 13:49:30.622121, 1.80 %,15 GB
2025-07-02 13:49:31.141753, 5.90 %,15 GB
2025-07-02 13:49:31.663675, 2.30 %,15 GB
2025-07-02 13:49:32.185680, 0.80 %,15 GB
2025-07-02 13:49:32.702160, 1.60 %,15 GB
2025-07-02 13:49:33.216055, 0.80 %,15 GB
2025-07-02 13:49:33.731288, 2.60 %,15 GB
2025-07-02 13:49:34.247193, 6.20 %,15 GB
2025-07-02 13:49:34.763296, 1.90 %,15 GB
2025-07-02 13:49:35.279021, 2.40 %,15 GB
2025-07-02 13:49:35.795349, 2.90 %,15 GB
2025-07-02 13:49:36.309552, 1.90 %,15 GB
2025-07-02 13:49:36.825156, 3.50 %,15 GB
2025-07-02 13:49:37.340170, 2.10 %,15 GB
2025-07-02 13:49:37.855142, 1.10 %,15 GB
2025-07-02 13:49:38.370335, 1.30 %,15 GB
2025-07-02 13:49:38.887357, 1.90 %,15 GB
2025-07-02 13:49:39.402962, 3.20 %,15 GB
2025-07-02 13:49:39.919869, 2.10 %,15 GB
2025-07-02 13:49:40.435250, 4.40 %,15 GB
2025-07-02 13:49:40.951439, 1.30 %,15 GB
2025-07-02 13:49:41.466999, 2.10 %,15 GB
2025-07-02 13:49:41.982791, 1.60 %,15 GB
2025-07-02 13:49:42.499726, 5.30 %,15 GB
2025-07-02 13:49:43.017362, 2.40 %,15 GB
2025-07-02 13:49:43.531926, 1.10 %,15 GB
2025-07-02 13:49:44.047557, 2.60 %,15 GB
2025-07-02 13:49:44.561898, 0.80 %,15 GB
2025-07-02 13:49:45.077393, 2.90 %,15 GB
2025-07-02 13:49:45.592834, 2.70 %,15 GB
2025-07-02 13:49:46.109136, 1.00 %,15 GB
2025-07-02 13:49:46.624677, 1.60 %,15 GB
2025-07-02 13:49:47.144124, 2.40 %,15 GB
2025-07-02 13:49:47.661307, 2.10 %,15 GB
2025-07-02 13:49:48.177394, 1.80 %,15 GB
2025-07-02 13:49:48.692177, 1.90 %,15 GB
2025-07-02 13:49:49.206715, 1.60 %,15 GB
2025-07-02 13:49:49.721780, 1.60 %,15 GB
2025-07-02 13:49:50.237284, 2.10 %,15 GB
2025-07-02 13:49:50.753248, 2.10 %,15 GB
2025-07-02 13:49:51.268569, 1.30 %,15 GB
2025-07-02 13:49:51.783312, 1.60 %,15 GB
2025-07-02 13:49:52.299080, 1.00 %,15 GB
2025-07-02 13:49:52.813716, 1.30 %,15 GB
